Вулиця;ціна;лінк
Володимира Великого;8500грн.;https://lvov.mesto.ua/uk/rent/frankovskij-rajon/ulitsa-vladimira-velikogo/15200271.html?tar
Центр початок вул. Личаківська;8000грн.можливий торг;https://lvov.mesto.ua/uk/rent/lyichakovskij-rajon/lyichakovskaya-ulitsa/15200268.html?tar
Центр Дорошенка;12000грн.можливий торг;https://lvov.mesto.ua/uk/rent/galitskij-rajon/ulitsa-petra-doroshenko/15200264.html?tar
Проспект Чорновола;9000грн.можливий торг;https://lvov.mesto.ua/uk/rent/shevchenkovskij-rajon/prospekt-vyacheslava-chernovola/15200260.html?tar
Городоцька;9000грн.;https://lvov.mesto.ua/uk/rent/zheleznodorozhnyij-rajon/gorodotskaya-ulitsa/15200258.html?tar
Топольна Миколайчука;5999грн.;https://lvov.mesto.ua/uk/rent/shevchenkovskij-rajon/ulitsa-mikolajchuka/15200255.html?tar
Ковельська;7900грн.;https://lvov.mesto.ua/uk/rent/lyichakovskij-rajon/kovelskaya-ulitsa/15200254.html?tar
Чорновола;11700грн.;https://lvov.mesto.ua/uk/rent/shevchenkovskij-rajon/prospekt-vyacheslava-chernovola/15200253.html?tar
Червоної Калини;8500грн.можливий торг;https://lvov.mesto.ua/uk/rent/sihovskij-rajon/prospekt-chervonoj-kalinyi/15200249.html?tar
пр.Свободи;6500грн.;https://lvov.mesto.ua/uk/rent/galitskij-rajon/prospekt-svobodyi/15367739.html?tar
Пр. Свободи;13000грн.можливий торг;https://lvov.mesto.ua/uk/rent/galitskij-rajon/prospekt-svobodyi/14657325.html?tar
Олени Степанівни;12000грн.;https://lvov.mesto.ua/uk/rent/zaliznichnyij-rajon/ulitsa-olenyi-stepanivnyi/14656810.html?tar
Личаківська;13000грн.;https://lvov.mesto.ua/uk/rent/lyichakovskij-rajon/lyichakovskaya-ulitsa/14656807.html?tar
Авраама Лінкольна;7000грн.;https://lvov.mesto.ua/uk/rent/shevchenkovskij-rajon/ulitsa-avraama-linkolna/14656804.html?tar
Сахарова;6200грн.;https://lvov.mesto.ua/uk/rent/frankovskij-rajon/ulitsa-akademika-andreya-saharova/14656802.html?tar
Городоцька;11000грн.можливий торг;https://lvov.mesto.ua/uk/rent/zheleznodorozhnyij-rajon/gorodotskaya-ulitsa/14643948.html?tar
Шевченка;6000грн.;https://lvov.mesto.ua/uk/rent/shevchenkovskij-rajon/ulitsa-shevchenko/14627363.html?tar
Б.Хмельницького;4500грн.;https://lvov.mesto.ua/uk/rent/shevchenkovskij-rajon/ulitsa-bogdana-hmelnitskogo/14627350.html?tar
Новий Львів (Литвиненка);8000грн.можливий торг;https://lvov.mesto.ua/uk/rent/14627329.html?tar
Чорновола;10000грн.можливий торг;https://lvov.mesto.ua/uk/rent/shevchenkovskij-rajon/prospekt-vyacheslava-chernovola/14627318.html?tar
Івана Франка;5500грн.можливий торг;https://lvov.mesto.ua/uk/rent/galitskij-rajon/ulitsa-ivana-franko/15339355.html?tar
Кульпарківська 156а;9500грн.;https://lvov.mesto.ua/uk/rent/zheleznodorozhnyij-rajon/kulparkovskaya-ulitsa/15339348.html?tar
Ляймберга;6000грн.можливий торг;https://lvov.mesto.ua/uk/rent/15323416.html?tar
Мушака;1800$можливий торг;https://lvov.mesto.ua/uk/rent/sihovskij-rajon/ulitsa-yuriya-mushaka/14377686.html?tar
